昵称,主页,头像,平台,联系方式,粉丝数,线上报价,线下报价,所在地,标签,直播间,简介
吳大偉,http://www.zhaihehe.com/?/authentication_anchor_detail/2273394,http://www.zhaihehe.com/statics/uploads/anchor/20170425/86232150103304.jpg,一直播,,853.4万,10万,15万,广州市,"['电商', '美妆', '旅游', '短视频', '帅气', '小鲜肉', '时尚']",http://www.yizhibo.com/member/personel/user_info?memberid=2273394&nest_url=,
胡椒大侠,http://www.zhaihehe.com/?/authentication_anchor_detail/24092778,http://www.zhaihehe.com/statics/uploads/guild/20170508/95217613242210.jpg,一直播,,500.0万,1000,3000,上海市,"['唱歌', '才艺', '可爱', '萝莉']",http://www.yizhibo.com/l/u6fhAk6ysiuaSMuY.html,
Skm破音,http://www.zhaihehe.com/?/authentication_anchor_detail/1019099576,http://www.zhaihehe.com/statics/uploads/anchor/20170502/81428423715673.jpg,美拍,,290.5万,10万,15万,山东,"['唱歌', '帅气', '小鲜肉']",http://www.meipai.com/user/1019099576,
喵大仙带你停药带你菲,http://www.zhaihehe.com/?/authentication_anchor_detail/35748422,http://www.zhaihehe.com/statics/uploads/anchor/20170425/56859721114786.jpg,美拍,,343.9万,20万,25万,厦门市,"['短视频', '御姐', '美妆']",http://www.meipai.com/user/35748422,
纪大发好棒呀,http://www.zhaihehe.com/?/authentication_anchor_detail/56545184,http://www.zhaihehe.com/statics/uploads/anchor/20170425/44939756105639.jpg,一直播,,272.3万,5万,8万,北京市,"['健身', '御姐', '性感']",http://www.yizhibo.com/member/personel/user_info?memberid=56545184&nest_url=,
刘阳Cary,http://www.zhaihehe.com/?/authentication_anchor_detail/37300183,http://www.zhaihehe.com/statics/uploads/anchor/20170425/26558319115667.jpg,美拍,,306.6万,20万,25万,厦门市,"['短视频', '搞笑', '帅气', '小鲜肉', '时尚']",http://www.meipai.com/user/37300183,
罗休休,http://www.zhaihehe.com/?/authentication_anchor_detail/1009958,http://www.zhaihehe.com/statics/uploads/anchor/20170425/73687845116396.jpg,美拍,,324.2万,20万,25万,乐山市,"['电商', '短视频', '清纯']",http://www.meipai.com/user/1009958,
香喷喷的小烤鸡,http://www.zhaihehe.com/?/authentication_anchor_detail/37266351,http://www.zhaihehe.com/statics/uploads/anchor/20170502/88286103716964.jpg,美拍,,266.2万,10万,12万,北京市,"['短视频', '美食', '小鲜肉', '搞笑']",http://www.meipai.com/user/37266351,
MC赵导,http://www.zhaihehe.com/?/authentication_anchor_detail/22470031,http://www.zhaihehe.com/statics/uploads/anchor/20170605/42307008655230.jpg,花椒,,560.1万,1万,1万,"辽宁省,营口市,站前区","['唱歌', '才艺', '帅气', '小鲜肉', '喊麦', '搞笑', '游戏']",http://www.huajiao.com/user/22470031,人称“喊麦小王子”。“外表高冷，内心逗逼”的大帅哥。典型的东北小哥哥，一口东北话溜溜的。喜欢做粉丝互动的小游戏。
许川,http://www.zhaihehe.com/?/authentication_anchor_detail/40535794,http://www.zhaihehe.com/statics/uploads/anchor/20170425/80506791104131.jpg,一直播,,903.4万,10万,10万,北京市,"['脱口秀', '旅游', '文艺']",http://www.yizhibo.com/member/personel/user_info?memberid=40535794&nest_url=,
HoneyCC,http://www.zhaihehe.com/?/authentication_anchor_detail/1004657,http://www.zhaihehe.com/statics/uploads/anchor/20170425/86875253117849.jpg,美拍,,232.5万,20万,25万,厦门市,"['短视频', '美妆', '电商', '御姐', '时尚']",http://www.meipai.com/user/1004657,
邱婷婷Tanya,http://www.zhaihehe.com/?/authentication_anchor_detail/914224,http://www.zhaihehe.com/statics/uploads/anchor/20170619/45272809878004.jpg,一直播,,380.8万,1万,1.5万,"广东省,深圳市,福田区","['御姐', '时尚', '才艺', '情感', '唱歌', '美妆', '短视频', '旅游', '美食', '星座']",http://new.yizhibo.com/l/ZNHFnI33fXIzT745.html,
-王小强-,http://www.zhaihehe.com/?/authentication_anchor_detail/1143256,http://www.zhaihehe.com/statics/uploads/anchor/20170425/74956810118384.jpg,美拍,,219.1万,20万,22万,上海市,"['短视频', '搞笑', '肌肉', '小鲜肉']",http://www.meipai.com/user/1143256,
恋珊妮,http://www.zhaihehe.com/?/authentication_anchor_detail/1005302,http://www.zhaihehe.com/statics/uploads/anchor/20170502/28103732716452.jpg,美拍,,204.3万,10万,10万,香港,"['短视频', '情感']",http://www.meipai.com/user/1005302,
王梦婷special,http://www.zhaihehe.com/?/authentication_anchor_detail/16512230,http://www.zhaihehe.com/statics/uploads/anchor/20170517/44708503014185.jpg,映客,,32.2万,2500,2500,"北京市,北京市,朝阳区","['唱歌', '才艺', '时尚']",http://,影视演员。阳光、率性、开朗。是个双鱼座的90后少女。爱吃辣，做事也是红红火火的。
萌小美Monkey,http://www.zhaihehe.com/?/authentication_anchor_detail/4141175,http://www.zhaihehe.com/statics/uploads/anchor/20170425/35238785110279.jpg,一直播,,332.0万,5万,7万,北京市,"['唱歌', '可爱', '萝莉', '清纯', '御姐']",http://www.yizhibo.com/member/personel/user_info?memberid=4141175&nest_url=,
